2024-07-03 18:19:59.950 [RMI TCP Connection(2)-127.0.0.1] INFO  [org.springframework.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2024-07-03 18:23:42.156 [File Watcher] INFO  [o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener] - Restarting due to 191 class path changes (0 additions, 191 deletions, 0 modifications)
2024-07-03 18:23:42.163 [Thread-5] INFO  [org.apache.catalina.core.StandardService] - Stopping service [Tomcat]
2024-07-03 18:23:42.163 [Thread-5] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Destroying Spring FrameworkServlet 'dispatcherServlet'
2024-07-03 18:23:42.169 [Thread-5] INFO  [o.s.scheduling.quartz.SchedulerFactoryBean] - Shutting down Quartz Scheduler
2024-07-03 18:23:45.259 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 9999 (http)
2024-07-03 18:23:45.260 [restartedMain] INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-07-03 18:23:45.260 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-07-03 18:23:45.267 [restartedMain] INFO  [o.a.c.c.ContainerBase.[Tomcat-1].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2024-07-03 18:23:45.267 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 149 ms
2024-07-03 18:23:45.467 [restartedMain] INFO  [org.apache.catalina.core.StandardService] - Stopping service [Tomcat]
2024-07-03 18:23:45.473 [restartedMain] INFO  [o.s.b.a.logging.ConditionEvaluationReportLogger] - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-07-03 18:23:47.132 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 9999 (http)
2024-07-03 18:23:47.132 [restartedMain] INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-07-03 18:23:47.133 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-07-03 18:23:47.140 [restartedMain] INFO  [o.a.c.c.ContainerBase.[Tomcat-2].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2024-07-03 18:23:47.140 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 227 ms
2024-07-03 18:23:54.563 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Using db table-based data access locking (synchronization).
2024-07-03 18:23:54.564 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - JobStoreCMT initialized.
2024-07-03 18:23:55.310 [restartedMain] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] - Exposing 1 endpoint(s) beneath base path '/actuator'
